ParticleSize,ImpingementAngle,ImpactVelocity,Materials,Erosion
355-500,90,40,Copper,0.09429
355-500,15,35,Copper,0.10408
355-500,30,35,Copper,0.09263
355-500,45,35,Copper,0.08695
355-500,60,35,Copper,0.08912
355-500,75,35,Copper,0.08562
355-500,90,35,Copper,0.08244
355-500,15,30,Copper,0.09028
355-500,30,30,Copper,0.08215
355-500,45,30,Copper,0.07783
355-500,60,30,Copper,0.07728
355-500,75,30,Copper,0.0765
355-500,90,30,Copper,0.07484
355-500,15,50,GunMetal,0.1563
355-500,30,50,GunMetal,0.15583
355-500,45,50,GunMetal,0.13007
355-500,60,50,GunMetal,0.14387
355-500,75,50,GunMetal,0.12824
355-500,90,50,GunMetal,0.12783
355-500,15,45,GunMetal,0.14206
355-500,30,45,GunMetal,0.14159
355-500,45,45,GunMetal,0.11583
355-500,60,45,GunMetal,0.11963
355-500,75,45,GunMetal,0.114
355-500,90,45,GunMetal,0.11359
355-500,15,40,GunMetal,0.12924
355-500,30,40,GunMetal,0.12812
355-500,45,40,GunMetal,0.10919
355-500,60,40,GunMetal,0.12013
355-500,75,40,GunMetal,0.10708
355-500,90,40,GunMetal,0.10733
355-500,15,35,GunMetal,0.11534
355-500,30,35,GunMetal,0.10992
355-500,45,35,GunMetal,0.09529
355-500,60,35,GunMetal,0.09962
355-500,75,35,GunMetal,0.09318
355-500,90,35,GunMetal,0.09343
355-500,15,30,GunMetal,0.10145
355-500,30,30,GunMetal,0.10122
355-500,45,30,GunMetal,0.08376
355-500,60,30,GunMetal,0.09493
355-500,75,30,GunMetal,0.08714
355-500,90,30,GunMetal,0.08362
355-500,15,50,Aluminum,0.11317
355-500,30,50,Aluminum,0.11024
355-500,45,50,Aluminum,0.08714
355-500,60,50,Aluminum,0.09031
355-500,75,50,Aluminum,0.08879
355-500,90,50,Aluminum,0.08954
355-500,15,45,Aluminum,0.10131
355-500,30,45,Aluminum,0.09838
355-500,45,45,Aluminum,0.07528
355-500,60,45,Aluminum,0.07845
355-500,75,45,Aluminum,0.07693
355-500,90,45,Aluminum,0.07468
355-500,15,40,Aluminum,0.08825
355-500,30,40,Aluminum,0.08614
355-500,45,40,Aluminum,0.06959
355-500,60,40,Aluminum,0.07112
355-500,75,40,Aluminum,0.06828
355-500,90,40,Aluminum,0.06701
355-500,15,35,Aluminum,0.08531
355-500,30,35,Aluminum,0.08078
355-500,45,35,Aluminum,0.07568
355-500,60,35,Aluminum,0.07985
355-500,75,35,Aluminum,0.07733
355-500,90,35,Aluminum,0.07354
355-500,15,30,Aluminum,0.07014
355-500,30,30,Aluminum,0.06724
355-500,45,30,Aluminum,0.05477
355-500,60,30,Aluminum,0.05598
355-500,75,30,Aluminum,0.05496
355-500,90,30,Aluminum,0.05457
