District,Age,Gender,Education,Occupation,Income,PrticipatedPrepPlan,ContributeFund,PreparednessPlan,GrabBag,ExtraMoney,FirstAidHome,SimulationExercise,CompositeScore
1,53,0,2,1,180000,0,0,0,0,0,0,1,1
1,40,0,2,9,160000,0,0,0,0,0,0,1,1
1,49,1,1,6,96000,0,0,0,0,0,0,1,1
1,38,0,2,9,96000,0,0,0,0,0,0,0,0
1,45,1,2,6,120000,0,0,0,0,0,0,1,1
1,48,1,2,4,85000,0,0,0,0,0,0,0,0
1,20,0,2,9,180000,0,0,0,0,1,0,1,2
1,35,0,3,9,90000,0,0,0,0,0,0,1,1
1,23,1,3,16,120000,0,0,0,1,0,0,0,1
1,24,0,4,9,250000,0,0,0,1,0,0,0,1
1,40,0,2,9,300000,0,0,0,0,0,0,0,0
1,35,0,2,9,80000,0,0,0,0,0,0,0,0
1,20,1,2,16,210000,0,0,0,1,0,0,0,1
1,65,1,0,4,120000,0,0,0,0,1,0,1,2
1,38,1,2,4,350000,0,0,0,1,0,0,1,2
1,45,0,0,9,150000,0,0,0,0,0,0,0,0
1,61,1,2,6,250000,0,0,0,1,0,0,1,2
