District,Age,Gender,Education,Occupation,Income,PrticipatedPrepPlan,ContributeFund,PreparednessPlan,GrabBag,ExtraMoney,FirstAidHome,SimulationExercise,CompositeScore
3,55,0,1,9,60000,0,0,0,0,0,0,0,0
3,35,1,2,2,35000,0,0,0,0,0,0,0,0
2,45,0,0,1,40000,0,0,0,0,0,0,0,0
2,42,1,2,6,50000,0,0,0,0,0,0,0,0
2,35,1,3,3,50000,0,0,1,0,0,0,0,1
2,48,1,2,6,50000,0,0,1,0,,1,0,2
2,30,0,3,9,50000,0,0,1,0,0,0,0,1
2,41,1,4,1,120000,1,0,0,0,1,0,1,3
2,40,0,2,9,50000,0,0,1,0,0,0,0,1
2,40,1,3,1,75000,1,0,1,0,1,0,0,3
2,45,0,2,9,100000,0,0,1,0,0,0,0,1
2,45,0,2,9,150000,0,0,0,0,0,0,0,0
2,70,1,2,0,80000,0,0,0,0,0,1,0,1
2,30,0,3,9,80000,1,0,1,0,0,0,0,2
2,45,1,2,4,180000,0,0,0,0,0,0,0,0
2,29,0,2,9,72000,0,0,0,0,0,0,0,0
2,27,1,2,2,96000,0,0,0,0,0,0,0,0
2,52,0,1,9,60000,0,0,0,0,0,0,0,0
2,35,0,2,2,36000,0,0,0,0,0,0,0,0
2,22,0,2,9,72000,0,0,0,0,0,0,0,0
2,45,0,1,9,84000,0,0,0,0,0,0,0,0
2,70,0,1,0,86000,0,0,0,0,0,0,0,0
2,42,0,1,9,108000,0,0,0,0,0,0,0,0
2,55,0,1,9,36000,0,0,0,0,0,0,0,0
2,20,0,2,9,48000,0,0,0,0,0,0,0,0
2,50,1,2,1,200000,0,0,1,1,0,1,0,3
2,42,1,1,6,120000,0,0,0,0,0,0,0,0
2,38,1,1,4,120000,0,0,0,0,0,1,0,1
2,38,1,1,6,72000,0,0,0,0,0,0,0,0
2,33,0,2,9,200000,0,0,0,1,0,1,0,2
2,25,0,2,9,60000,0,0,0,0,0,0,0,0
2,42,1,2,6,120000,0,0,0,0,0,0,0,0
2,38,0,2,4,120000,0,0,0,0,0,0,0,0
2,55,1,1,8,60000,0,0,0,0,0,0,0,0
2,40,1,1,1,250000,0,0,0,1,1,0,0,2
2,65,1,1,4,72000,0,0,0,0,0,0,0,0
1,56,0,0,9,120000,0,0,0,1,0,0,0,1
1,25,1,7,0,250000,0,0,0,1,0,0,0,1
1,40,1,0,4,110000,0,0,0,0,0,0,0,0
1,52,0,0,2,120000,0,0,0,0,0,0,0,0
1,27,0,2,9,60000,0,0,0,0,0,0,0,0
1,20,0,2,9,120000,0,0,0,1,0,0,0,1
1,61,1,1,0,36000,0,0,0,1,0,0,0,1
1,45,1,2,1,144000,0,0,0,1,0,0,0,1
1,40,1,2,2,100000,0,0,0,1,0,0,0,1
1,25,0,2,9,120000,0,0,0,1,0,0,0,1
1,32,1,2,6,120000,0,0,0,1,0,0,0,1
1,42,0,2,9,40000,0,0,0,1,0,0,0,1
1,55,0,1,9,160000,0,0,0,1,0,0,0,1
1,25,0,2,9,84000,0,0,0,1,0,0,0,1
1,30,1,2,6,120000,0,0,0,1,0,0,0,1
2,32,0,2,6,160000,0,0,0,1,0,0,0,1
2,25,1,2,3,100000,0,0,1,0,1,0,0,2
2,65,0,0,2,30000,0,0,0,0,0,0,0,0
1,60,1,0,6,96000,0,0,0,0,0,0,1,1
1,28,0,2,2,48000,0,0,0,1,0,0,0,1
1,60,0,1,9,60000,0,0,0,0,0,0,1,1
1,65,1,2,6,180000,0,0,0,1,0,0,1,2
1,22,1,2,2,180000,0,0,0,1,0,0,1,2
1,18,0,3,0,96000,0,0,0,1,0,0,1,2
1,23,0,2,1,72000,0,0,0,0,0,0,0,0
1,40,0,2,9,48000,0,0,0,0,0,0,1,1
1,38,0,1,2,36000,0,0,0,0,0,0,1,1
1,40,0,1,9,60000,0,0,0,0,0,0,1,1
3,33,1,2,16,200000,0,0,0,0,0,0,0,0
1,39,1,3,1,84000,0,0,0,0,0,0,1,1
1,26,0,3,9,84000,0,0,0,0,0,0,0,0
1,45,0,1,9,60000,0,0,0,0,0,0,0,0
1,35,0,2,9,96000,0,0,0,0,0,0,1,1
1,58,1,2,6,240000,0,0,0,0,0,0,1,1
1,42,1,2,6,150000,0,0,0,0,0,0,1,1
1,46,1,2,1,180000,0,0,1,0,0,0,1,2
1,22,0,3,9,84000,0,0,0,0,0,0,0,0
1,32,0,2,9,96000,0,0,0,0,0,0,0,0
3,17,0,3,17,100000,0,0,0,0,0,0,0,0
3,30,1,2,11,90000,0,0,0,0,0,0,0,0
3,40,1,3,11,80000,0,0,0,0,0,0,0,0
3,39,1,2,2,72000,0,0,0,0,0,0,0,0
3,38,1,2,3,120000,0,0,1,0,0,0,0,1
3,32,0,2,2,45000,0,0,0,0,0,0,0,0
3,50,0,1,9,60000,0,0,0,0,0,0,0,0
3,59,0,2,6,72000,0,0,1,0,0,0,0,1
3,52,1,2,4,150000,0,0,1,0,0,0,0,1
3,68,1,3,5,120000,0,0,0,0,0,0,0,0
3,30,0,1,2,60000,0,0,0,0,0,0,0,0
3,32,1,4,6,72000,0,0,0,0,0,0,0,0
3,36,1,7,7,200000,0,0,1,1,1,1,0,4
2,30,1,3,0,100000,0,0,0,1,0,1,0,2
2,35,0,2,9,120000,0,0,0,0,0,0,0,0
2,40,0,1,9,48000,0,0,0,0,0,0,0,0
2,56,0,1,13,36000,0,0,0,0,0,0,0,0
2,37,0,3,9,120000,0,0,0,0,0,1,0,1
2,21,1,1,6,60000,0,0,0,0,0,0,0,0
2,40,1,1,1,120000,0,0,0,1,0,0,0,1
2,18,1,4,0,60000,0,0,0,0,0,0,1,1
2,53,1,1,6,84000,0,0,0,0,0,0,0,0
2,60,1,1,2,72000,0,0,0,0,0,0,0,0
2,20,1,5,,96000,0,0,0,0,0,0,0,0
2,81,1,3,4,150000,0,0,0,0,0,0,0,0
3,55,1,2,2,60000,0,0,0,0,0,0,0,0
1,65,0,2,2,15000,0,0,0,0,0,0,1,1
1,21,1,2,6,200000,0,0,0,1,0,0,1,2
1,45,0,2,9,60000,0,0,0,0,0,0,1,1
1,42,1,0,6,150000,0,0,0,1,0,0,1,2
1,70,1,2,4,150000,0,0,0,1,0,0,1,2
1,53,0,2,9,80000,0,0,0,0,0,0,0,0
3,53,1,2,5,115000,0,0,0,0,0,0,0,0
3,36,1,2,1,84000,0,0,0,0,1,0,0,1
3,50,0,2,5,84000,0,0,0,0,0,0,0,0
3,45,0,2,2,36000,0,0,0,0,0,0,0,0
3,24,0,4,9,100000,0,0,0,0,0,0,0,0
3,40,0,1,5,150000,0,0,0,0,0,0,0,0
3,19,0,2,5,60000,0,0,0,0,0,0,0,0
3,62,1,1,4,100000,0,0,1,0,0,0,0,1
3,28,0,2,17,60000,0,0,0,0,0,0,0,0
3,36,0,2,2,50000,0,0,1,0,0,0,0,1
3,30,0,6,13,80000,0,0,0,0,0,0,0,0
3,37,1,7,14,250000,0,0,1,0,1,1,0,3
1,60,0,0,9,48000,0,0,0,1,0,0,0,1
1,40,0,2,9,96000,0,0,0,0,0,0,0,0
1,81,1,2,1,48000,0,0,0,1,0,0,0,1
1,60,0,1,9,50000,0,0,0,0,0,0,1,1
1,35,1,1,6,96000,0,0,0,1,0,0,0,1
1,45,1,1,6,72000,0,0,0,0,0,0,1,1
1,35,1,2,6,120000,0,0,0,0,0,0,0,0
1,40,0,0,9,40000,0,0,0,1,0,0,0,1
1,65,1,1,2,120000,0,0,0,1,0,0,1,2
1,45,0,2,9,140000,0,0,0,0,0,0,0,0
1,45,0,2,2,80000,0,0,0,0,0,0,1,1
1,35,0,2,9,90000,0,0,0,0,0,0,0,0
1,32,1,3,6,180000,0,0,0,0,0,0,0,0
1,55,0,0,2,60000,0,0,0,0,0,0,0,0
1,29,1,2,6,84000,0,0,0,0,0,0,1,1
1,65,0,2,2,120000,0,0,0,0,0,0,0,0
1,30,1,2,1,150000,0,0,0,0,0,0,0,0
2,27,1,0,1,180000,0,0,0,1,0,0,0,1
2,40,1,0,15,120000,0,0,0,1,0,0,0,1
2,45,1,0,1,120000,0,0,0,1,0,0,0,1
2,23,1,5,14,120000,0,0,0,1,0,0,0,1
2,50,1,0,15,100000,0,0,0,1,0,0,0,1
2,28,0,3,0,120000,0,0,0,1,0,0,0,1
2,25,0,2,2,120000,0,0,0,1,0,0,0,1
2,38,0,0,9,144000,0,0,0,1,0,0,0,1
2,30,0,2,9,24000,0,0,0,1,0,0,0,1
2,35,0,0,0,48000,0,0,0,1,0,0,0,1
2,4,0,3,9,50000,0,0,0,1,0,0,0,1
2,24,1,3,3,120000,0,0,0,1,0,0,0,1
2,33,1,1,4,80000,0,0,0,1,0,0,0,1
2,45,0,1,9,25000,0,0,0,1,0,0,0,1
2,23,0,2,9,120000,0,0,0,1,0,0,0,1
2,60,0,0,9,40000,0,0,0,1,0,0,0,1
2,28,1,2,2,144000,0,0,0,1,0,0,0,1
2,47,1,2,6,100000,0,0,0,1,0,0,0,1
2,65,1,2,16,48000,0,0,0,1,0,0,0,1
2,54,1,0,6,120000,0,0,0,1,0,0,0,1
2,55,1,2,4,36000,0,0,0,1,0,0,0,1
2,21,0,2,9,48000,0,0,0,1,0,0,0,1
2,33,1,2,6,200000,0,0,0,1,0,0,0,1
2,40,1,2,6,100000,0,0,0,1,0,0,0,1
2,22,1,5,6,70000,0,0,0,1,0,0,0,1
2,35,1,0,6,60000,0,0,0,1,0,0,0,1
2,75,1,0,6,48000,0,0,0,1,0,0,0,1
2,20,0,3,9,60000,0,0,0,1,0,0,0,1
2,22,0,2,9,120000,0,0,0,1,0,0,0,1
2,20,1,5,0,144000,0,0,0,0,0,0,0,0
2,40,0,1,6,60000,0,0,0,1,0,0,0,1
2,28,1,2,6,60000,0,0,0,1,1,0,0,2
2,65,1,2,2,144000,0,0,0,1,0,0,0,1
2,24,1,2,6,80000,0,0,0,1,0,0,0,1
2,35,1,3,1,,0,0,0,1,0,0,0,1
2,35,1,3,6,150000,0,0,0,1,0,0,0,1
2,30,1,3,1,180000,0,0,0,1,0,0,0,1
2,32,0,3,4,100000,0,0,0,1,0,0,0,1
2,40,0,3,11,120000,0,0,0,1,0,1,0,2
2,70,1,0,,120000,0,0,0,0,0,0,0,0
2,20,1,4,2,150000,0,0,0,1,1,0,0,2
2,40,1,0,2,100000,0,0,0,0,0,0,0,0
2,20,0,2,4,60000,0,0,0,1,0,0,0,1
2,30,0,2,9,80000,0,0,0,1,0,0,0,1
2,30,0,3,9,18000,0,0,0,1,0,0,0,1
2,24,0,2,,50000,0,0,0,1,0,0,0,1
2,80,1,1,1,150000,0,0,0,1,0,0,0,1
2,35,0,3,13,100000,0,0,0,1,0,0,0,1
2,35,0,2,9,60000,0,0,0,1,1,0,0,2
2,45,0,2,9,120000,0,0,0,1,1,0,0,2
2,28,0,2,6,40000,0,0,0,1,0,0,0,1
1,46,1,2,4,120000,0,0,0,1,0,0,0,1
1,28,0,2,9,100000,0,0,0,1,0,0,0,1
1,45,0,2,9,150000,0,0,0,0,0,0,0,0
1,63,1,3,0,300000,0,0,0,0,0,0,0,0
1,36,0,2,9,200000,0,0,0,1,0,0,1,2
1,42,0,2,9,150000,0,0,0,1,0,0,0,1
3,44,1,2,5,96000,0,0,0,1,0,0,0,1
3,32,0,2,2,48000,0,0,0,0,0,0,0,0
3,42,1,2,5,85000,0,0,0,0,1,0,0,1
3,38,0,2,2,60000,0,0,0,1,0,0,0,1
3,48,0,2,9,300000,0,0,0,1,0,1,0,2
3,32,0,2,9,60000,0,0,0,0,0,0,0,0
3,32,1,2,6,65000,0,0,0,0,0,0,0,0
3,28,1,2,8,84000,0,0,0,1,0,0,0,1
1,64,1,2,4,85000,0,0,0,1,0,0,1,2
1,22,0,2,9,90000,0,0,0,0,0,0,1,1
1,58,1,2,6,120000,0,0,0,0,0,0,1,1
1,78,1,0,9,84000,0,0,0,0,0,0,0,0
1,29,0,1,2,60000,0,0,0,0,0,0,0,0
1,45,0,1,9,120000,0,0,0,0,0,0,1,1
1,55,0,1,1,72,0,0,0,0,0,0,1,1
1,32,0,3,9,72,0,0,0,0,0,0,0,0
1,32,1,2,6,120000,0,0,0,0,1,0,1,2
1,30,0,2,2,120000,0,0,0,0,0,0,0,0
1,38,0,2,9,96000,0,0,0,0,0,0,0,0
3,63,1,2,5,150000,0,0,1,0,1,0,0,2
3,34,0,2,10,60000,0,0,0,0,0,0,0,0
3,20,0,3,17,100000,0,0,0,0,0,0,0,0
3,50,1,3,5,100000,0,0,1,0,1,1,1,4
3,32,0,6,9,70000,0,0,0,0,0,0,0,0
3,45,1,2,5,200000,0,0,1,0,1,0,0,2
3,25,1,2,2,50000,0,0,0,0,0,0,0,0
3,24,0,2,9,50000,0,0,0,0,0,0,0,0
3,50,0,1,9,75000,0,0,0,0,0,0,0,0
3,50,0,2,9,60000,0,0,1,0,0,0,0,1
3,62,1,1,5,100000,0,0,0,0,1,0,0,1
3,58,1,2,16,80000,0,0,0,0,0,0,0,0
2,42,1,2,1,25000,1,0,1,1,0,0,1,4
2,48,1,1,4,30000,0,0,0,0,0,0,0,0
2,62,0,0,9,20000,0,0,0,0,0,0,0,0
2,58,0,2,9,10000,0,0,0,0,0,0,0,0
2,50,1,2,10,10000,0,0,0,0,0,0,0,0
2,,1,2,0,40000,1,0,1,0,0,0,0,2
2,29,0,2,6,20000,0,0,0,0,0,0,0,0
2,48,1,0,1,10000,1,0,0,0,0,0,0,1
2,32,0,2,6,10000,1,0,0,0,0,0,0,1
2,34,0,2,1,10000,1,0,0,0,0,0,0,1
2,42,0,0,0,10000,0,0,0,0,0,0,0,0
2,43,0,2,0,20000,1,0,0,0,0,0,0,1
2,25,0,2,6,10000,1,0,0,0,0,0,0,1
2,23,0,2,6,10000,1,0,0,0,0,0,0,1
2,30,1,0,6,10000,0,0,0,0,0,0,0,0
2,35,0,2,6,10000,1,0,0,1,0,0,1,3
2,38,0,0,6,20000,1,0,0,0,0,0,1,2
2,38,1,2,3,10000,0,0,0,1,1,0,0,2
2,52,0,1,2,10000,0,0,0,0,0,0,1,1
2,38,0,2,3,10000,0,0,0,0,0,0,1,1
2,38,0,2,6,10000,0,0,0,0,0,0,1,1
2,65,1,1,6,20000,1,0,0,0,0,0,1,2
2,22,0,2,2,10000,0,0,0,0,0,0,1,1
2,39,1,1,3,10000,0,0,0,0,0,0,0,0
2,25,0,2,18,18000,0,0,0,0,0,0,1,1
2,28,1,2,3,50000,0,0,0,0,0,0,0,0
2,20,1,4,4,60000,0,0,0,0,0,0,1,1
2,32,0,2,10,40000,0,0,0,0,0,0,0,0
2,24,0,2,,60000,0,0,0,0,0,0,0,0
2,55,,2,2,45000,0,0,0,0,0,0,1,1
2,52,0,2,,70000,0,0,0,1,1,0,0,2
2,24,0,2,2,30000,0,0,0,0,0,0,0,0
2,24,0,2,3,45000,1,0,0,0,0,0,0,1
2,38,0,1,2,35000,0,0,0,0,0,0,0,0
2,34,0,2,3,35000,0,0,0,0,0,0,0,0
2,46,1,6,,45000,1,0,0,0,0,0,0,1
2,35,0,1,10,35000,0,0,0,0,0,0,0,0
2,42,1,1,2,20000,0,0,0,0,0,0,0,0
2,53,0,1,2,40000,0,0,0,0,0,0,0,0
2,65,1,1,6,50000,0,0,0,0,0,0,0,0
2,31,0,2,2,35000,0,0,0,0,0,0,0,0
2,55,1,1,2,37000,0,0,0,0,0,0,0,0
2,22,0,2,2,36000,0,0,0,0,0,0,0,0
1,85,1,2,1,60000,0,0,0,1,0,0,0,1
1,48,0,1,9,48000,0,0,0,1,0,0,0,1
1,47,1,2,3,96000,0,0,0,1,0,0,1,2
1,38,0,2,9,150000,0,0,0,1,0,0,0,1
1,26,1,2,2,72000,0,0,0,1,0,0,0,1
1,83,0,1,2,48000,0,0,0,0,0,0,0,0
1,32,1,2,2,60000,0,0,0,1,0,0,0,1
1,35,0,2,2,72000,0,0,0,1,0,0,0,1
1,30,1,2,2,120000,0,0,0,1,0,0,0,1
1,32,0,2,2,84000,0,0,0,1,0,0,0,1
1,68,0,1,2,24000,0,0,0,1,0,0,1,2
3,63,1,2,4,70000,0,0,0,1,0,0,0,1
3,26,0,1,9,70000,0,0,0,0,0,0,0,0
3,32,0,2,6,48000,0,0,0,0,0,0,0,0
3,30,1,6,16,90000,0,0,0,1,0,0,0,1
3,58,1,2,4,65000,0,0,0,1,0,0,0,1
3,39,1,2,2,48000,0,0,0,1,0,1,0,2
3,34,0,3,2,60000,0,0,0,1,0,1,0,2
3,29,1,6,5,75000,0,0,0,1,0,1,0,2
3,43,0,3,9,45000,0,0,0,1,0,0,0,1
3,58,1,4,4,65000,0,0,0,1,0,1,0,2
2,35,0,2,9,72000,0,0,0,0,0,0,0,0
2,38,1,2,6,96000,0,0,0,0,0,0,0,0
2,62,0,1,9,72000,0,0,0,0,0,0,0,0
2,65,0,1,9,24000,0,0,0,0,0,0,0,0
2,30,0,2,17,60000,0,0,0,0,0,0,0,0
2,40,0,1,13,72000,0,0,0,0,0,0,0,0
2,28,0,2,10,80000,0,0,0,0,0,0,0,0
2,35,0,1,9,84000,0,0,0,0,0,1,0,1
2,30,1,2,6,84000,0,0,0,0,0,0,0,0
2,24,0,2,17,120000,0,0,0,1,0,0,0,1
2,30,1,1,6,48000,0,0,0,1,0,0,0,1
2,30,0,2,9,36000,0,0,0,1,0,0,0,1
2,32,1,2,2,48000,0,0,0,1,0,0,0,1
2,55,1,3,1,120000,0,0,0,1,0,0,0,1
2,,1,0,0,48000,0,0,0,1,0,0,0,1
3,61,1,2,16,75000,0,0,1,0,0,0,0,1
3,56,1,2,5,72000,0,0,0,0,0,0,0,0
3,45,0,2,9,100000,0,0,1,0,0,0,0,1
3,25,0,3,9,75000,0,0,0,0,0,0,0,0
3,51,0,1,6,65000,0,0,0,0,0,0,0,0
3,63,1,2,14,80000,1,0,0,0,0,0,1,2
3,42,0,3,16,100000,0,0,1,0,1,0,0,2
3,37,0,6,7,500000,0,0,1,0,1,1,0,3
2,35,0,4,9,120000,0,0,1,1,1,1,0,4
2,40,0,2,9,60000,0,0,1,0,1,0,0,2
2,40,0,0,9,50000,0,0,0,0,0,0,0,0
2,45,1,4,1,200000,0,0,1,0,1,1,0,3
2,45,0,2,2,30000,0,0,0,0,0,0,0,0
2,40,1,0,2,30000,0,0,0,0,0,0,0,0
2,45,1,3,4,60000,1,0,1,0,0,0,1,3
2,60,1,3,4,70000,0,0,1,0,0,0,0,1
2,45,0,0,9,30000,0,0,0,0,0,0,0,0
2,53,1,3,0,60000,0,0,0,0,0,0,0,0
2,25,0,6,10,500000,0,0,1,0,0,1,0,2
2,40,0,2,13,50000,0,0,0,0,0,0,0,0
2,40,0,3,9,60000,1,0,1,0,0,0,1,3
2,60,0,1,2,30000,0,0,0,0,0,0,0,0
2,32,1,2,2,50000,0,0,0,0,0,0,0,0
2,60,0,2,2,10000,0,0,0,0,0,0,0,0
2,35,0,2,9,50000,0,0,0,0,0,0,0,0
2,75,1,1,0,400000,0,0,0,0,0,0,0,0
2,68,1,2,6,50000,0,0,0,0,0,0,0,0
2,35,0,2,9,60000,0,0,1,0,0,0,0,1
2,50,0,0,9,30000,0,0,0,0,0,0,0,0
2,40,0,0,9,30000,0,0,0,0,0,0,0,0
2,70,1,2,1,500000,0,0,0,0,0,0,0,0
2,22,0,2,9,48000,0,0,0,0,0,0,0,0
2,45,0,1,9,50000,0,0,1,0,0,0,0,1
2,45,0,1,9,40000,0,0,0,0,0,0,0,0
2,31,0,2,9,50000,0,0,0,0,0,0,0,0
2,28,1,1,6,20000,1,0,0,1,0,0,0,2
2,47,0,0,2,40000,0,0,0,1,0,0,0,1
2,25,0,2,1,45000,1,0,0,1,1,0,0,3
2,68,1,1,4,50000,1,0,0,1,1,0,0,3
2,58,1,2,2,30000,0,0,0,0,0,0,0,0
2,30,0,2,,45000,0,1,0,1,1,0,1,4
2,40,0,1,1,25000,0,0,0,1,0,0,0,1
3,26,1,2,2,60000,0,0,0,0,0,0,0,0
3,33,0,7,9,200000,0,0,0,1,0,0,0,1
3,45,0,2,2,48000,0,0,0,1,0,1,0,2
3,55,1,2,5,65000,0,0,0,0,0,1,0,1
3,66,1,2,4,100000,0,0,0,1,0,1,0,2
