Gender,Constructed,Floor,Member,Dis,Ethinic,education,Head
Male,Tin,Earth,4,,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,Concrete Building,Concrete,7,0,Bangalee,Never went to school,Husband
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Khotrio,School Secondary Certificate,Father
Male,Tin,Earth,7,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,School Secondary Certificate,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,School Secondary Certificate,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Self
Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Wife
Male,Brick Noggin Building,Concrete,5,0,Bangalee,Literate,Self
Male,Brick Noggin Building,Earth,5,0,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Male,Tin,Earth,5,1,Bangalee,Primary ,Self
Female,Tin,Earth,6,0,Bangalee,Literate,Husband
Male,Tin,Earth,6,1,Bangalee,School Secondary Certificate,Self
Female,Concrete Building,Concrete,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,2,0,Bangalee,Literate,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,1,Bangalee,Never went to school,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,6,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Male,Tin,Earth,7,0,Bangalee,Higher Secondary Certificate,Self
Female,Wooden House (2 story) ,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Female,Wooden House (2 story) ,Earth,5,0,Bangalee,Primary ,Husband
