Age,Gender,Constructed,Floor,People,Whois,sixty,disability
26,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,Under 5 years old,0,0
83,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,2,Over 60 years old,1,0
32,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
35,Female,Tin,Earth,6,Over 60 years old Person with disability Under 5 years old,1,1
30,Male,Tin,Concrete,4,Over 60 years old Under 5 years old,1,0
32,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
68,Female,Tin,Earth,2,Over 60 years old,1,0
63,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,Over 60 years old,1,0
26,Female,Tin,Earth,4,Under 5 years old,0,0
32,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old,1,0
30,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,"No, there is not a family member in any of these groups",0,0
58,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
39,Male,Tin,Earth,4,Over 60 years old,1,0
34,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
29,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old Under 5 years old,1,0
43,Female,Tin,Earth,4,Over 60 years old,1,0
58,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
35,Female,Tin,Earth,4,Person with disability,0,1
38,Male,Tin,Earth,5,Over 60 years old,1,0
62,Female,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
65,Female,Tin,Earth,4,Over 60 years old Person with disability,1,1
30,Female,Tin,Earth,7,Over 60 years old,1,0
40,Female,Tin,Earth,6,Over 60 years old,1,0
28,Female,Tin,Earth,4,Under 5 years old,0,0
35,Female,Tin,Earth,4,Under 5 years old Person with disability,0,1
30,Male,Tin,Earth,6,Over 60 years old,1,0
24,Female,Tin,Earth,3,Under 5 years old,0,0
30,Male,Tin,Earth,6,Under 5 years old,0,0
30,Female,Tin,Earth,5,,,
32,Male,Tin,Earth,11,Under 5 years old Over 60 years old,1,0
55,Male,Tin,Earth,3,,,
,Male,Tin,Earth,5,Under 5 years old Over 60 years old,1,0
61,Male,Tin,Earth,5,Under 5 years old Over 60 years old,1,0
56,Male,Tin,Earth,6,Over 60 years old,1,0
45,Female,Tin,Earth,9,Over 60 years old,1,0
25,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
51,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
63,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old,1,0
42,Female,Tin,Earth,51,Over 60 years old,1,0
37,Female,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
35,Female,Tin,Earth,7,Person with disability Under 5 years old Over 60 years old,1,1
40,Female,Wooden House (2 story) ,Earth,6,Over 60 years old Under 5 years old,1,0
40,Female,Tin,Earth,3,Person with disability Under 5 years old,0,1
45,Male,Concrete Building,Concrete,4,Over 60 years old,1,0
45,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
40,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
45,Male,Tin,Earth,7,Under 5 years old Over 60 years old,1,0
60,Male,Wooden House (2 story) ,Earth,7,Under 5 years old Person with disability,0,1
45,Female,Tin,Earth,6,Over 60 years old Person with disability,1,1
53,Male,Tin,Earth,9,Under 5 years old,0,0
25,Female,Tin,Concrete,3,Under 5 years old,0,0
40,Female,Tin,Earth,7,Under 5 years old,0,0
40,Female,Tin,Earth,7,Over 60 years old Transgender,1,0
60,Female,Tin,Earth,2,Over 60 years old,1,0
32,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,Under 5 years old,0,0
60,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
35,Female,Tin,Earth,5,Under 5 years old,0,0
75,Male,Tin,Concrete,3,Over 60 years old,1,0
68,Male,Tin,Earth,3,Over 60 years old Person with disability,1,1
35,Female,Tin,Earth,5,Under 5 years old,0,0
50,Female,Tin,Earth,2,Person with disability,0,1
40,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
70,Male,Tin,Earth,3,Over 60 years old,1,0
22,Female,Tin,Earth,3,Under 5 years old,0,0
45,Female,Tin,Earth,5,Person with disability,0,1
45,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
31,Female,Tin,Earth,4,Under 5 years old,0,0
28,Male,Tin,Earth,5,Over 60 years old Under 5 years old Person with disability,1,1
47,Female,Tin,Earth,2,Person with disability,0,1
25,Female,Tin,Earth,4,Over 60 years old Under 5 years old,1,0
68,Male,Tin,Earth,2,Over 60 years old,1,0
58,Male,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
30,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
40,Female,Brick Noggin Building,Concrete,2,"No, there is not a family member in any of these groups",0,0
26,Male,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
33,Female,Tin,Earth,4,Over 60 years old,1,0
45,Female,Tin,Earth,2,Over 60 years old,1,0
55,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,Over 60 years old,1,0
66,Male,Tin,Earth,4,Over 60 years old,1,0
54,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,"No, there is not a family member in any of these groups",0,0
39,Male,Tin,Earth,6,Over 60 years old,1,0
25,Female,Tin,Earth,4,Under 5 years old,0,0
30,Female,Tin,Earth,4,Under 5 years old,0,0
55,Female,Tin,Earth,7,Under 5 years old,0,0
47,Male,Concrete Building,Concrete,6,Under 5 years old,0,0
68,Male,Tin,Earth,8,Over 60 years old Person with disability,1,1
55,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
40,Female,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
35,Female,Tin,Earth,6,Over 60 years old,1,0
65,Male,Concrete Building,Concrete,7,Over 60 years old Person with disability,1,1
70,Male,Tin,Earth,7,Over 60 years old,1,0
35,Female,Tin,Earth,7,Under 5 years old,0,0
36,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
28,Male,Tin,Earth,4,Under 5 years old,0,0
50,Female,Wooden House (1 story) ,Earth,2,Over 60 years old,1,0
45,Male,Wooden House (1 story) ,Earth,7,Over 60 years old,1,0
45,Female,Wooden House (1 story) ,Earth,4,Under 5 years old,0,0
53,Female,Concrete Building,Earth,6,"No, there is not a family member in any of these groups",0,0
40,Female,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
49,Male,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
38,Female,Wooden House (1 story) ,Earth,5,Over 60 years old,1,0
45,Male,Wooden House (1 story) ,Earth,7,Over 60 years old Under 5 years old,1,0
48,Male,Wooden House (1 story) ,Concrete,6,"No, there is not a family member in any of these groups",0,0
20,Female,Wooden House (1 story) ,Earth,10,Under 5 years old Person with disability,0,1
35,Female,Wooden House (1 story) ,Concrete,4,"No, there is not a family member in any of these groups",0,0
23,Male,Brick Noggin Building,Earth,4,Under 5 years old Over 60 years old,1,0
24,Female,Tin,Earth,5,Pregnant,0,0
40,Female,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
35,Female,Tin,Earth,5,Under 5 years old,0,0
20,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
65,Male,Tin,Earth,5,Over 60 years old,1,0
38,Male,Concrete Building,Concrete,6,Under 5 years old,0,0
45,Female,Tin,Earth,3,,,
61,Male,Tin,Earth,7,Over 60 years old Person with disability,1,1
