Age,Gender,Constructed,Floor,People,Whois,sixty,disability
46,Female,Tin,Earth,7,Over 60 years old,1,0
57,Male,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
38,Male,Tin,Earth,5,Over 60 years old,1,0
73,Male,Tin,Earth,2,Over 60 years old,1,0
25,Female,Tin,Earth,3,Person with disability,0,1
35,Female,Wooden House (2 story) ,Earth,5,"No, there is not a family member in any of these groups",0,0
60,Male,Concrete Building,Concrete,5,Under 5 years old,0,0
38,Male,Tin,Earth,4,,,
35,Female,Tin,Earth,2,Over 60 years old,1,0
45,Female,Concrete Building,Concrete,7,Pregnant Under 5 years old,0,0
45,Female,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
65,Male,Tin,Earth,5,Over 60 years old,1,0
55,Male,Tin,Earth,5,Under 5 years old,0,0
59,,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old Under 5 years old,1,0
51,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
45,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,Pregnant,0,0
35,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,Over 60 years old,1,0
45,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
55,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
45,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
46,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
35,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
40,Male,Brick Noggin Building,Concrete,5,Over 60 years old,1,0
62,Male,Brick Noggin Building,Earth,5,Over 60 years old Under 5 years old,1,0
50,Female,Tin,Earth,5,Pregnant,0,0
64,Male,Tin,Earth,5,Over 60 years old Under 5 years old Person with disability Pregnant,1,1
46,Female,Tin,Earth,6,Under 5 years old,0,0
60,Male,Tin,Earth,6,Over 60 years old Person with disability,1,1
52,Female,Concrete Building,Concrete,3,Over 60 years old,1,0
55,Female,Tin,Earth,2,Over 60 years old,1,0
35,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,Over 60 years old Under 5 years old Mother with new borne baby,1,0
45,Female,Tin,Earth,5,Person with disability,0,1
42,Male,Tin,Earth,5,Under 5 years old,0,0
35,Male,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
48,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
30,Female,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
41,Male,Tin,Earth,7,"No, there is not a family member in any of these groups",0,0
40,Female,Wooden House (2 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
40,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
45,Female,Tin,Earth,6,Under 5 years old,0,0
45,Female,Wooden House (2 story) ,Earth,5,Over 60 years old,1,0
70,Male,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
30,Female,Wooden House (2 story) ,Earth,5,Over 60 years old Under 5 years old,1,0
45,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
29,Female,Tin,Earth,4,Under 5 years old Person with disability,0,1
27,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
52,Female,Tin,Earth,5,Over 60 years old Person with disability,1,1
35,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
22,Female,Tin,Earth,3,Under 5 years old,0,0
45,Female,Tin,Earth,3,Over 60 years old,1,0
70,Female,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
42,Female,Tin,Earth,5,Over 60 years old,1,0
55,Female,Tin,Earth,2,Over 60 years old,1,0
20,Female,Tin,Earth,3,Under 5 years old Person with disability,0,1
50,Male,Tin,Concrete,6,Over 60 years old Under 5 years old,1,0
42,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
38,Male,Tin,Earth,5,Over 60 years old,1,0
38,Male,Tin,Earth,7,Under 5 years old,0,0
33,Female,Tin,Earth,2,"No, there is not a family member in any of these groups",0,0
